CampaignChannel,CampaignType,AdSpend,ClickThroughRate,EmailOpens,EmailClicks,PreviousPurchases,WebsiteVisits,Conversion
Referral,Awareness,7909.335038814151,0.0550273749322483,11,0,3,0,1
SEO,Retention,5091.776674384087,0.1908004696386405,8,7,4,24,1
PPC,Conversion,5175.87477877114,0.1800075668542458,5,0,4,15,1
Referral,Awareness,3684.910591710645,0.1080235344370034,8,1,4,14,1
PPC,Conversion,8659.702011738033,0.0958091635883072,1,3,0,10,1
Email,Consideration,3251.440308172347,0.1107008938820623,0,9,6,36,1
Email,Consideration,1031.9836306299176,0.1520661681646578,9,1,5,38,1
Social Media,Awareness,3097.0170403222564,0.2926977231822367,2,4,2,2,1
Referral,Awareness,7182.000108052069,0.2314337403875998,17,6,7,44,1
Social Media,Consideration,6610.060679352956,0.2570045243579916,11,6,5,44,1
Referral,Retention,1961.369820180421,0.156638374982024,14,9,8,41,1
PPC,Retention,1206.664561138926,0.1625758474158453,13,4,6,38,1
Referral,Consideration,6642.571008177289,0.069254151816738,9,2,7,19,1
Email,Retention,6796.130672983632,0.2191032925273127,5,4,8,22,1
PPC,Consideration,3724.88140838465,0.1322593616792844,19,3,5,14,1
Email,Conversion,8443.73369693789,0.2253095890571362,19,5,7,17,1
PPC,Conversion,9784.231517619177,0.1286260605806613,11,0,1,38,1
Referral,Conversion,2135.8877121490145,0.0414699842920333,8,0,0,34,0
Referral,Retention,5812.980285489681,0.0601855694579062,3,7,8,28,1
Email,Conversion,152.92865713899772,0.2453553226416581,3,5,9,19,1
SEO,Awareness,7159.238520660245,0.0849987819720904,1,8,5,41,1
Referral,Awareness,4201.392924276846,0.08666278254445,6,9,9,14,1
SEO,Conversion,2013.365346341332,0.279516746100676,10,0,9,31,1
PPC,Awareness,7546.997025467324,0.2007143306313863,15,6,2,11,1
SEO,Conversion,8125.4230958051985,0.0431491906264633,9,0,2,47,1
Email,Conversion,1200.5483616417791,0.0516397283382609,14,6,7,11,1
Social Media,Consideration,505.8580421965365,0.088986555488881,1,6,2,24,1
Social Media,Conversion,3407.376572524261,0.1822587494697235,11,7,9,33,1
Email,Awareness,6297.305611034252,0.2283193862726451,14,4,5,7,1
Social Media,Retention,7954.853319167468,0.0896039686014271,10,7,5,23,1
Email,Conversion,5506.018716641531,0.2624861908503397,9,9,4,44,1
Referral,Consideration,5849.412885439108,0.041662251876403,2,4,6,0,1
SEO,Awareness,8018.596395353622,0.070203758732522,7,8,3,24,1
Social Media,Consideration,5335.549404765718,0.2914348271314345,19,7,9,33,1
Referral,Conversion,6150.429453240376,0.0490760104595607,19,6,5,13,1
Social Media,Conversion,5210.551665767937,0.2675522792399051,4,6,0,35,1
PPC,Conversion,8816.53651034027,0.2141411718671876,10,2,2,5,1
Email,Conversion,2431.61452399238,0.0311952562860949,11,5,6,44,1
Email,Awareness,2713.5364869510427,0.1502749803809837,19,5,8,8,1
Referral,Retention,1366.8184698580749,0.1605040124119938,10,4,0,47,1
PPC,Conversion,8212.720839794776,0.2803204931105928,5,1,3,0,1
SEO,Consideration,4176.595176567338,0.1321203319923789,7,9,6,8,1
PPC,Awareness,3544.1500147243137,0.13956144848464,12,6,9,23,1
PPC,Awareness,9815.352299162849,0.0426202888880497,14,4,8,38,1
SEO,Awareness,9275.353327753875,0.1953600433969221,1,1,7,17,1
SEO,Consideration,9722.678053035135,0.071160123007838,5,3,1,47,1
PPC,Retention,1508.7600679110592,0.0324846448848749,19,0,1,38,0
Social Media,Consideration,8923.392950166846,0.2991065100205302,1,7,8,17,1
Social Media,Consideration,3354.2250339357697,0.0881925921092135,14,4,1,40,0
PPC,Consideration,225.30202509743884,0.0509054178873531,0,7,9,27,1
Social Media,Conversion,3973.85352623238,0.2128522086331811,10,0,6,1,1
SEO,Conversion,5141.043896066791,0.2482878252173515,7,7,9,36,1
SEO,Consideration,1171.382193317313,0.0285824730066405,8,4,8,40,1
Social Media,Consideration,5423.0084070551375,0.0405640591662382,14,6,7,35,1
SEO,Conversion,8212.68948334964,0.0361504088387932,4,2,4,47,1
Email,Conversion,3838.74441330802,0.0236181979635282,8,2,1,23,0
SEO,Retention,3591.1835846895915,0.2012423788039423,3,8,5,34,1
PPC,Consideration,3454.2231602837064,0.1806108250244155,9,6,6,5,1
Referral,Awareness,9238.63501424855,0.2022139304023805,3,5,9,16,1
Social Media,Retention,582.705178022971,0.1566434773495125,4,3,6,29,1
Social Media,Awareness,4506.253805730257,0.2470772287676186,18,4,4,7,1
SEO,Retention,2719.534596082197,0.1685338077245868,12,7,9,41,1
SEO,Consideration,8948.689551336192,0.2764366110918912,10,0,8,9,1
Referral,Awareness,1050.9174094796588,0.150838074426158,11,1,5,15,1
Referral,Conversion,4173.283390136066,0.2392910117513636,13,2,9,37,1
PPC,Retention,4127.479905107748,0.1281345025682538,12,4,8,25,1
Email,Awareness,8895.104733715523,0.1362149294851684,3,7,7,30,1
PPC,Retention,2233.385105905598,0.2562076931189959,12,4,9,7,1
Social Media,Consideration,6484.46456198595,0.0412213522537223,4,4,8,34,1
SEO,Awareness,1430.620656189112,0.1738261489451303,8,5,0,33,1
PPC,Awareness,9544.359569397371,0.2206375756558478,0,8,1,9,1
SEO,Awareness,5970.84809679563,0.2276219784709455,11,8,7,39,1
SEO,Retention,6299.941630174636,0.1815331228792928,16,8,5,43,1
PPC,Conversion,4394.356676438674,0.139938700406259,0,4,0,11,1
PPC,Conversion,3488.5988553965904,0.0856269087213597,18,5,9,40,1
Referral,Conversion,2205.4966519992754,0.2737336082526954,4,6,0,26,1
Email,Consideration,6079.478762939363,0.1172385047811843,11,2,0,18,1
Referral,Awareness,9550.161278947557,0.2417077056746703,11,0,2,25,1
Email,Conversion,3661.93044551479,0.0191830277591645,10,1,8,14,1
PPC,Conversion,8843.253197754337,0.0773290722591166,15,3,5,30,1
Email,Awareness,1572.8854971877718,0.1102195899363955,16,8,1,45,1
Social Media,Consideration,9367.647606729828,0.2047564783599592,2,0,7,36,1
Referral,Retention,3569.814210590958,0.1026059340769483,10,5,9,17,1
Referral,Retention,3859.299394774122,0.021995502237599,16,3,2,28,1
Referral,Retention,4682.1383446398495,0.0604215796556646,0,5,0,43,1
SEO,Awareness,7210.618272481737,0.0851579521871045,14,1,9,26,1
SEO,Consideration,7224.568993521449,0.0610537691813875,8,1,5,37,1
PPC,Awareness,4847.926988724686,0.0690801224409286,17,6,3,19,1
PPC,Retention,5279.213703207965,0.2329975127952727,0,4,5,20,1
SEO,Conversion,397.1038289639976,0.1294897567456334,5,5,7,28,1
Referral,Conversion,3112.537345427424,0.1275019809536983,1,3,3,42,1
SEO,Conversion,3525.569034883033,0.2903158376312509,4,0,3,14,0
Email,Retention,5631.399960385018,0.139543533003818,2,7,5,21,1
Referral,Consideration,5627.167696975915,0.2790208584343945,4,0,1,22,1
SEO,Retention,7128.007997505944,0.0967282984828372,7,7,2,3,1
PPC,Awareness,7198.570232559001,0.1261816153722102,5,0,1,23,1
SEO,Consideration,2428.5861696996217,0.124922173259564,10,9,8,13,1
Social Media,Conversion,7724.852795937764,0.1683628613712468,10,9,3,36,1
SEO,Consideration,294.0753236581923,0.1794317143476461,10,3,2,20,1
Referral,Consideration,7190.002657606533,0.0819562584222579,7,5,1,42,1
SEO,Retention,1110.404924842289,0.2401394326209644,5,0,0,38,0
PPC,Consideration,7323.517263370069,0.1539925268562698,15,8,1,12,1
Email,Retention,5318.469096627203,0.0120426305204541,19,6,3,18,1
Social Media,Awareness,4428.819556762612,0.1814887836618372,19,0,3,25,1
Referral,Consideration,6937.597258638148,0.2414372380434495,2,9,6,35,1
PPC,Consideration,460.0712540976039,0.0826353539664827,7,1,2,43,1
Social Media,Consideration,2312.356224188225,0.0209825927149585,12,4,6,45,1
SEO,Conversion,6202.757410429775,0.2440818101387095,9,2,3,32,1
Social Media,Retention,8487.432525645097,0.2931202476317718,7,0,8,39,1
Email,Retention,3872.965605756658,0.0322034482528216,9,4,6,15,0
Social Media,Conversion,2661.738579072215,0.2820306741244591,12,7,1,18,1
Social Media,Retention,5235.490714311044,0.1141895794730579,2,0,8,36,1
SEO,Awareness,6260.92099862973,0.2830174864905453,3,5,8,13,1
SEO,Conversion,4259.02001091689,0.1981634039607095,15,0,1,43,1
Referral,Retention,8779.435758331574,0.2681708506100398,2,7,7,43,1
SEO,Awareness,5282.043217714133,0.2378915772649098,8,4,6,29,1
Social Media,Retention,454.65351694879166,0.0181193454179817,18,2,0,30,0
Email,Conversion,2308.234151591285,0.0289783256742656,11,7,0,19,1
SEO,Retention,4561.405606086364,0.1624659354843777,5,9,7,43,1
Referral,Awareness,7007.48263826764,0.0475895157550246,3,7,9,42,1
Referral,Awareness,2275.5472135466293,0.1436999293555739,13,2,4,46,1
Social Media,Awareness,9764.94865320247,0.2868427865836956,0,6,8,6,1
SEO,Retention,3253.726756062026,0.0954796133908004,7,0,2,41,1
SEO,Conversion,5371.554047919825,0.1517846870065648,18,2,2,36,1
Referral,Retention,287.76720883730763,0.1214352927197401,15,6,7,46,1
SEO,Consideration,8860.418142164963,0.192649819631992,7,2,4,1,1
Social Media,Conversion,7909.463069899316,0.066215029888952,4,6,0,21,1
Email,Consideration,2035.0342425263675,0.0853823941389421,7,2,8,12,1
Social Media,Retention,9339.043243274444,0.2590426768955629,16,2,1,45,1
SEO,Conversion,3226.813661594306,0.2452875049194981,5,1,6,37,1
Social Media,Consideration,6952.644254963159,0.2388650097724857,2,4,7,30,1
PPC,Retention,8207.865548364338,0.2335666867021898,19,0,3,0,1
PPC,Conversion,7435.053166248091,0.1432368731038579,10,3,2,46,1
SEO,Awareness,9184.069561895429,0.2213783240343403,12,3,0,42,1
SEO,Awareness,8656.320127373014,0.1222893971829141,18,9,9,12,1
Email,Awareness,9946.65398950694,0.0392057782549492,19,2,6,16,1
Social Media,Consideration,1907.8529845038408,0.1240786460781787,2,4,6,3,1
Email,Consideration,3117.1418321443302,0.0560122828260999,18,3,8,42,1
SEO,Retention,6398.636087573137,0.1233469873834277,19,7,5,30,1
SEO,Awareness,7357.167140326678,0.096253312455237,6,7,3,32,1
Referral,Consideration,5392.590040101521,0.1837565934496982,10,9,0,13,1
Email,Awareness,831.8908123774877,0.1148467204945427,8,0,5,20,1
SEO,Retention,8431.792745323783,0.2146210023799617,14,7,1,21,1
PPC,Conversion,9612.656124610594,0.1585225375038183,11,8,9,4,1
Referral,Consideration,4114.616753881308,0.2766527607694659,11,3,8,36,1
Social Media,Consideration,2325.643568818576,0.0363973762516122,5,7,6,31,1
Referral,Conversion,291.20617412466663,0.2094356647059863,16,8,0,2,1
Social Media,Consideration,2449.2604573264944,0.2049950944953114,17,1,3,40,1
PPC,Retention,7029.19587090038,0.2856816987496832,8,8,4,12,1
Social Media,Consideration,9124.734937960033,0.1177500414426592,10,5,2,10,1
Email,Consideration,1025.7793576744816,0.098577011216527,18,8,8,49,1
Social Media,Conversion,5577.265952903106,0.0599940988219604,9,7,8,41,1
Social Media,Retention,6985.75936026714,0.0869336694530351,10,3,8,37,1
Referral,Awareness,2836.1701289520597,0.1555483240989902,5,6,1,23,0
PPC,Awareness,5741.98068778599,0.2529367589683933,8,2,2,8,1
Social Media,Conversion,7180.959417457151,0.0924431150093859,15,0,9,12,1
Email,Retention,8393.420507040231,0.0557452138306432,2,3,6,21,1
Referral,Conversion,4579.748523117811,0.0889172566115089,15,3,5,17,1
PPC,Conversion,7503.78646729771,0.0392688227582605,17,4,7,9,1
PPC,Awareness,3087.651420224512,0.2787416707293189,18,3,0,46,1
SEO,Retention,2209.1627930443706,0.2630610040864516,15,8,7,11,1
Email,Retention,1954.4060862976075,0.0994625979256941,3,4,0,29,1
Referral,Conversion,3652.8400450746894,0.0816264666202414,4,4,5,46,1
Referral,Awareness,455.2088497096055,0.2725652210788255,9,7,7,45,1
Email,Retention,2901.619192885972,0.0105138658830772,18,6,9,18,1
PPC,Conversion,6557.005961987959,0.1841674831174905,18,1,6,18,1
Social Media,Consideration,6514.398566885354,0.2756410906742444,2,0,2,9,1
Email,Awareness,828.1826842657632,0.1574816717828423,7,0,6,0,1
Referral,Retention,2945.4146090981394,0.0108604182838938,18,0,2,6,0
Email,Retention,5738.620880311425,0.0734727145216951,16,9,2,10,1
PPC,Retention,3253.6661612807184,0.2775080622286608,0,5,4,3,1
SEO,Awareness,4238.081439469847,0.0149365030121504,12,4,1,35,1
SEO,Conversion,7156.826495446064,0.1244861321583284,10,8,0,20,1
Social Media,Consideration,191.74161162063743,0.2390259706365636,11,5,3,21,1
Social Media,Retention,2836.2960864754623,0.2530463881686509,1,9,3,9,1
PPC,Awareness,1509.485213471665,0.1485063004623143,9,9,3,22,1
Social Media,Retention,1363.3309093684682,0.0774202880025272,8,4,9,4,1
SEO,Conversion,9594.498142827746,0.1839143681289861,15,6,9,47,1
PPC,Consideration,3827.947282467936,0.0864956291516174,3,4,8,11,0
PPC,Retention,5318.176990605434,0.0840266348188157,15,0,2,29,1
PPC,Awareness,7364.836681989363,0.2442039313851338,3,8,5,32,1
Email,Conversion,569.7300011144969,0.0547370922360178,6,3,6,36,1
Social Media,Consideration,2486.1241217212137,0.0116012287365773,14,4,6,17,1
Referral,Awareness,8338.263094702754,0.1076648129316962,10,3,4,3,1
SEO,Retention,8633.707070461023,0.1523824469485586,9,5,1,26,1
Social Media,Awareness,3792.21411434394,0.2144733136496438,9,8,1,46,1
SEO,Consideration,3811.129836552506,0.2365234247052436,5,0,8,22,1
Social Media,Conversion,7593.279083377931,0.2024205712287527,19,3,0,5,1
Referral,Conversion,3021.195244823705,0.1916875752919087,4,9,0,6,1
SEO,Retention,1259.231403285981,0.2030671294726361,19,2,7,18,1
Referral,Retention,2649.600957381776,0.0887426900985187,0,2,6,45,0
SEO,Retention,3934.712843194172,0.1208847836597246,14,7,8,14,1
Email,Retention,616.8266249914728,0.1887665852898737,13,7,5,47,1
Email,Consideration,4838.93451658173,0.0290154915026521,3,6,2,21,1
SEO,Retention,7426.074376450507,0.0956443515196781,11,9,1,31,1
SEO,Awareness,5186.07693035657,0.1278614939797193,14,4,6,14,1
Referral,Consideration,811.763871093619,0.1646977980276414,16,1,0,5,0
PPC,Consideration,4457.48135032499,0.1510798111346787,15,4,7,5,1
SEO,Retention,7118.155619624044,0.2182582446646581,14,3,7,5,1
Social Media,Consideration,675.1568745028803,0.1472937358707737,7,7,8,11,1
Social Media,Awareness,692.4871782961964,0.2721976953092467,11,5,8,1,0
Social Media,Consideration,3768.953891491728,0.120292319224201,17,0,8,24,1
Email,Consideration,2030.14324482472,0.1623577947910853,13,4,6,3,1
Referral,Awareness,9354.32983395336,0.0109310129845877,1,7,2,5,1
Email,Awareness,5855.301677023457,0.1000386073693949,11,0,9,41,1
Social Media,Consideration,2944.5214541183723,0.2613061634210578,1,0,5,36,1
SEO,Conversion,7077.289618238013,0.1067371544329245,17,2,5,37,1
Social Media,Consideration,3811.797608457356,0.0834240366664139,3,0,1,13,0
SEO,Awareness,1407.9448793521992,0.1676257191082442,8,5,3,46,1
Referral,Awareness,2448.599075451446,0.032831728548201,7,4,1,18,1
PPC,Awareness,6463.198116147819,0.1641654881786158,6,4,2,6,1
SEO,Conversion,613.5734493702174,0.0980630814902346,12,2,6,17,1
Email,Awareness,2799.6214964758306,0.1210998380635723,11,1,7,43,0
Social Media,Retention,2162.283628657529,0.239495851257772,11,0,0,7,0
Social Media,Retention,2091.2375956976666,0.2019695653980943,12,1,7,27,1
Social Media,Conversion,6859.347878562114,0.1393707670059144,18,9,7,20,1
SEO,Awareness,8275.587475868208,0.1774797307946324,3,8,6,34,1
Referral,Awareness,7187.079419836161,0.2323890390428664,1,9,6,46,1
SEO,Retention,6492.70537642507,0.2262772861068946,12,4,2,9,1
Email,Retention,9172.872540996854,0.0637432960598417,10,7,8,27,1
Social Media,Consideration,678.0845662005387,0.0972665743797693,6,2,2,18,0
SEO,Conversion,1758.0825511647831,0.1109887099801473,8,4,6,43,1
Social Media,Consideration,4202.627871138268,0.0643872641014512,6,6,7,34,1
Email,Conversion,3787.2712706882894,0.0135268216618282,2,1,1,27,0
PPC,Awareness,4238.710869333922,0.0604505079487555,2,2,3,45,0
PPC,Awareness,2143.90355992279,0.2443908548536312,0,2,3,48,1
PPC,Conversion,1580.0828242442606,0.1683169309038166,0,8,6,2,1
Social Media,Consideration,5141.013149833488,0.1090808278262824,19,0,5,38,1
SEO,Retention,9287.719988281058,0.1864198892325447,13,8,9,26,1
Social Media,Conversion,3980.4976772641785,0.2245518963505696,1,0,5,16,1
Referral,Conversion,529.196819783328,0.1127840570760501,10,9,5,14,1
SEO,Conversion,7091.056694606293,0.1451617040451426,9,6,8,41,1
Email,Awareness,2981.938564719032,0.0286218328343335,14,3,3,38,1
PPC,Conversion,2526.440572318432,0.1831562555016189,10,9,9,21,1
SEO,Awareness,3310.154206909825,0.1133580577101335,7,7,1,19,1
SEO,Retention,7265.773686687975,0.1357218578042284,0,0,1,26,1
PPC,Retention,8206.31193001601,0.1325541792046081,5,0,8,34,1
Email,Consideration,5921.75506665574,0.1933986937353373,19,5,3,46,1
Social Media,Awareness,3292.539661823561,0.1760149511967994,7,4,9,4,1
Social Media,Retention,3173.7345078610538,0.1324107538552047,18,4,8,1,1
SEO,Retention,1330.652664064084,0.0149169562323113,16,1,0,40,1
PPC,Consideration,9339.680377528426,0.1900791582430999,13,1,1,49,1
Referral,Consideration,6417.580049791313,0.2650774674699548,3,3,6,44,1
Email,Consideration,367.0487365730538,0.2331699557622303,1,1,6,19,1
Social Media,Awareness,6657.4342423481385,0.2946685333525238,15,3,0,6,1
Email,Conversion,4526.818899515728,0.0503318480260068,19,4,7,35,1
Email,Awareness,9728.323834164505,0.0745308153084775,1,3,6,7,1
Email,Consideration,8208.781365583429,0.1663875649143739,10,5,9,26,1
PPC,Conversion,1796.025962944702,0.0784056936797038,13,2,1,5,0
PPC,Retention,7229.1000768611775,0.02001943657169,17,1,0,23,0
PPC,Awareness,4907.103437969107,0.1266636000875443,9,0,1,35,1
SEO,Consideration,1951.747120332289,0.0934169729046549,11,4,6,4,0
PPC,Consideration,7017.525082566495,0.086490645241076,10,3,9,19,1
SEO,Conversion,5519.137029073029,0.286420116937032,8,8,3,19,1
Social Media,Awareness,400.7013998385479,0.0791516937169803,15,9,5,40,1
Social Media,Retention,6501.220710235376,0.0475354456443453,7,0,4,39,1
Social Media,Retention,6386.372189638163,0.0463425847932768,4,8,7,33,1
Social Media,Conversion,1526.44309440948,0.2438339813116734,14,7,6,38,1
Social Media,Conversion,3554.97849726726,0.2173059416127546,14,9,6,49,1
PPC,Retention,5900.399810435295,0.047550996714448,16,3,8,9,1
Referral,Conversion,1473.951839656626,0.073728404469628,1,1,3,2,0
PPC,Conversion,8541.96144056409,0.2267294724486238,12,2,8,48,1
Referral,Awareness,372.11185824826754,0.089638755372038,10,9,2,33,1
PPC,Conversion,1118.090408196614,0.2946472017956321,0,8,2,34,1
Social Media,Consideration,1249.4585065633523,0.1667653193200635,8,9,4,36,0
Email,Consideration,5328.260547153046,0.0656823114189255,3,1,9,44,1
Referral,Consideration,6239.12872046939,0.2590544518086926,15,7,2,44,1
Email,Conversion,4097.033885364717,0.1026479083101981,15,9,8,37,1
Social Media,Retention,2957.8015939148454,0.0937541329686695,2,0,0,45,0
Referral,Consideration,8112.242018693018,0.1049579577009345,17,3,5,22,1
Email,Awareness,776.0312388915594,0.2327772019846809,6,2,6,36,1
PPC,Conversion,2874.889425214638,0.0602317554176249,9,9,0,20,1
Social Media,Retention,487.2442301593106,0.120717876275672,9,1,4,26,1
PPC,Retention,237.51233616605327,0.018941504107479,6,2,8,0,1
PPC,Conversion,3598.4608806287924,0.2497217190313862,0,2,5,8,1
Social Media,Conversion,2028.7542582048268,0.1088084422290315,16,8,3,2,1
Referral,Awareness,2756.821962898638,0.0819701467444285,19,2,3,37,1
SEO,Conversion,8227.376858804186,0.1781690402888947,4,8,4,35,1
SEO,Conversion,1713.5029528672917,0.2144476462878988,10,3,4,33,1
Social Media,Retention,7824.310334802829,0.2457398507830535,1,0,5,29,1
SEO,Consideration,6783.001169148999,0.1108576341947296,9,7,2,30,1
Email,Consideration,3331.810698894244,0.2455672465432301,13,9,3,29,1
Referral,Retention,5510.905837245249,0.1448154901077228,5,4,4,15,1
PPC,Conversion,4499.9125367679335,0.0393312575881152,1,1,1,28,0
PPC,Awareness,1371.113623426887,0.255429169987576,6,8,9,5,1
Social Media,Consideration,9081.13468516834,0.1688140868103381,9,6,3,13,1
PPC,Conversion,5739.217879099025,0.1847161758647418,17,5,6,9,1
Email,Consideration,8814.376453375004,0.2818724682114732,0,1,3,23,1
Email,Retention,8255.882466951574,0.172153930632384,11,5,7,35,1
Social Media,Consideration,889.7816605632901,0.0116192238966168,3,6,0,23,0
